  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      3.920           3.924           4.397           4.097
         2      4.226           4.232           4.803           4.453
         3      3.956           3.956           4.595           4.211
         4      4.154           4.165           4.829           4.432
         5      4.351           4.361           5.019           4.624
         6      4.683           4.694           5.344           4.958
         7      4.400           4.410           5.070           4.681
         8      4.668           4.676           5.370           4.958
         9      4.422           4.436           5.133           4.716
        10      4.612           4.618           5.348           4.920
        11      4.685           4.689           5.417           4.985
        12      4.880           4.886           5.597           5.177
        13      4.960           4.966           5.689           5.272
        14      4.872           4.875           5.611           5.190
        15      5.000           4.999           5.736           5.306
        16      4.914           4.912           5.704           5.247
        17      5.102           5.102           5.898           5.446
        18      5.061           5.065           5.825           5.389
        19      5.099           5.099           5.853           5.415
        20      4.962           4.967           5.721           5.286
        21      4.969           4.969           5.729           5.287
        22      4.909           4.904           5.736           5.263
        23      5.010           5.009           5.753           5.319
        24      5.028           5.026           5.803           5.357
        25      4.903           4.897           5.683           5.225
        26      4.996           4.998           5.738           5.304
        27      4.832           4.831           5.599           5.152
        28      4.577           4.570           5.390           4.910
        29      4.402           4.401           5.244           4.755
        30      4.444           4.435           5.357           4.819
        31      4.476           4.473           5.363           4.844
        32      4.189           4.195           5.084           4.566
        33      4.418           4.419           5.270           4.769
        34      4.539           4.539           5.437           4.914
        35      4.542           4.539           5.381           4.884
        36      4.528           4.528           5.396           4.889
        37      4.879           4.881           5.702           5.222
        38      4.622           4.625           5.465           4.974
        39      4.612           4.604           5.493           4.973
        40      4.569           4.566           5.447           4.943
        41      4.653           4.650           5.537           5.028
        42      4.807           4.800           5.670           5.167
        43      4.802           4.803           5.657           5.166
        44      4.673           4.675           5.639           5.096
        45      4.478           4.479           5.403           4.872
        46      4.332           4.340           5.265           4.737
        47      4.497           4.498           5.420           4.896
        48      4.441           4.440           5.357           4.833
        49      4.541           4.542           5.448           4.929
        50      4.513           4.509           5.468           4.930
        51      4.430           4.432           5.385           4.848
        52      4.563           4.567           5.500           4.970
        53      4.598           4.598           5.494           4.986
        54      4.660           4.663           5.548           5.051
        55      4.506           4.507           5.435           4.914
        56      4.817           4.816           5.665           5.182
        57      4.640           4.639           5.537           5.028
        58      4.595           4.591           5.503           4.998
        59      4.832           4.823           5.708           5.213
        60      4.827           4.824           5.716           5.218
        61      4.506           4.504           5.416           4.901
        62      4.438           4.443           5.376           4.854
        63      4.547           4.546           5.492           4.964
        64      4.797           4.791           5.672           5.174
        65      4.390           4.388           5.305           4.782
        66      4.574           4.560           5.498           4.966
        67      4.405           4.403           5.309           4.793
        68      4.636           4.634           5.501           5.013
        69      4.705           4.703           5.610           5.104
        70      4.583           4.577           5.503           4.986
        71      4.588           4.580           5.503           4.984
        72      4.526           4.518           5.427           4.910
        73      4.724           4.716           5.609           5.109
        74      4.588           4.583           5.489           4.981
        75      4.575           4.569           5.469           4.961
        76      4.709           4.703           5.620           5.101
        77      4.593           4.586           5.471           4.969
        78      4.714           4.705           5.629           5.109
        79      4.828           4.822           5.737           5.219
        80      4.649           4.640           5.533           5.030
        81      4.858           4.849           5.715           5.223
        82      4.740           4.728           5.621           5.117
        83      4.531           4.522           5.433           4.914
        84      4.786           4.774           5.660           5.160
        85      4.684           4.674           5.544           5.057
        86      4.860           4.850           5.717           5.237
        87      4.699           4.688           5.580           5.082
        88      4.729           4.719           5.606           5.110
        89      4.799           4.789           5.665           5.173
        90      4.886           4.877           5.745           5.268
        91      4.846           4.833           5.776           5.254
        92      4.778           4.765           5.684           5.169
        93      4.850           4.837           5.746           5.241
