  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.659            2      876.352      567.112      464.988
        1        1.808        6.939            2      874.296      479.203      460.694
        2        1.901        6.810            4      877.430      490.964      447.073
        3        3.065        6.828            4      831.767      476.365      452.710
        4        3.282        6.613            3      828.176      475.742      433.597
        5        3.542        6.598            3      827.602      435.199      408.122
        6        3.485        6.737            2      840.853      462.894      438.780
        7        3.394        6.642            3      836.184      498.232      438.727
        8        3.308        6.846            4      842.381      542.301      421.062
        9        3.349        6.849            4      846.348      513.636      418.792
       10        3.650        6.700            4      825.176      526.339      405.958
       11        3.631        6.652            3      845.806      559.515      432.588
       12        4.876        6.475            3      809.445      664.084      455.177
       13        4.530        6.390            3      793.345      529.438      445.250
       14        4.541        6.506            3      812.254      535.373      456.626
       15        4.995        6.432            1      794.809      512.182      417.610
       16        4.780        6.691            3      832.436      647.362      495.204
       17        4.265        6.673            2      846.875      630.862      455.119
       18        4.442        6.378            4      821.047      672.864      440.429
       19        4.472        6.624            3      842.792      615.919      484.518
       20        4.638        6.653            4      856.450      754.759      471.357
       21        4.678        6.291            3      827.837      713.414      458.604
       22        4.668        6.449            3      832.643      734.567      440.110
       23        4.129        6.564            4      816.667      643.454      430.138
       24        3.800        6.491            3      821.916      678.591      429.350
       25        4.485        6.662            3      838.116      760.164      460.152
       26        4.201        6.793            2      839.289      777.238      453.881
       27        4.661        6.549            2      828.207      777.365      458.558
       28        4.250        6.635            3      844.045      693.623      478.070
       29        4.255        6.632            3      827.190      716.453      450.149
       30        3.770        6.551            4      850.735      771.461      466.307
       31        4.040        6.630            3      847.920      746.395      437.041
       32        4.210        6.948            3      859.421      728.293      461.750
       33        4.016        6.477            3      823.533      683.487      451.591
       34        3.968        6.438            2      835.686      707.290      450.274
       35        4.571        6.485            3      815.452      620.347      482.961
       36        4.680        6.496            4      821.336      675.301      463.939
       37        4.744        6.539            3      831.805      648.317      444.974
       38        5.005        6.645            3      832.182      685.851      459.675
       39        4.871        6.518            3      833.575      609.000      440.915
       40        4.428        6.299            3      809.962      648.615      437.062
       41        4.337        6.812            4      837.177      651.064      428.896
       42        4.095        6.777            3      860.088      690.990      459.829
       43        4.087        6.133            3      788.277      598.753      444.489
       44        4.270        6.110            4      785.241      574.093      444.012
       45        4.585        6.144            4      791.783      627.064      429.600
       46        4.039        6.509            4      842.976      691.880      434.714
       47        4.325        6.323            4      814.679      587.752      445.525
       48        4.197        6.190            4      768.829      550.382      398.419
       49        4.186        6.141            4      777.940      491.907      433.081
       50        4.279        6.266            4      804.195      582.749      424.008
       51        4.402        6.393            3      812.114      565.875      441.580
       52        4.149        6.311            4      813.686      558.843      426.494
       53        4.141        6.155            5      789.839      564.002      421.593
       54        3.965        6.157            5      790.915      545.596      415.706
       55        4.140        6.099            4      766.952      470.857      417.939
       56        4.078        6.030            4      762.420      604.816      409.916
       57        4.017        6.217            4      811.244      589.908      412.754
       58        4.317        6.128            4      785.869      580.964      411.392
       59        4.266        5.991            5      773.060      562.189      400.275
       60        4.244        6.064            5      778.375      519.539      408.869
       61        4.359        6.058            4      767.393      490.614      410.015
       62        4.283        6.422            4      830.737      557.092      443.760
       63        4.370        6.308            3      819.075      555.313      419.155
       64        4.406        6.235            1      809.999      598.546      466.100
