   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   6.293        3.702
         2                   5.816        3.027
         3                   5.830        3.397
         4                   5.586        2.360
         5                   5.255        1.857
         6                   5.029        1.939
         7                   5.154        2.380
         8                   5.105        1.450
         9                   5.396        1.442
        10                   5.548        2.331
        11                   5.865        1.752
        12                   5.954        2.763
        13                   6.146        2.440
        14                   6.340        2.442
        15                   6.732        3.190
        16                   7.022        3.348
        17                   7.160        3.547
        18                   4.825        2.052
        19                   4.650        2.155
        20                   4.590        1.547
        21                   4.527        1.667
        22                   4.393        2.940
        23                   4.463        3.288
        24                   4.985        3.707
        25                   4.264        3.465
        26                   4.721        1.340
        27                   4.740        1.024
        28                   4.161        0.986
        29                   4.726        1.227
        30                   5.729        1.221
        31                   6.151        1.363
        32                   6.296        2.049
        33                   6.754        1.592
        34                   6.815        2.470
        35                   7.138        2.174
        36                   7.236        1.988
        37                   7.892        2.684
        38                   8.078        2.601
        39                   8.375        2.804
        40                   3.351        1.311
        41                   3.017        1.620
        42                   3.163        1.311
        43                   3.456        1.428
        44                   2.762        2.441
        45                   3.129        2.850
        46                   3.411        1.391
        47                   3.682        1.322
        48                   3.283        1.223
        49                   3.291        1.748
        50                   4.437        1.754
        51                   5.044        2.162
        52                   5.966        2.650
        53                   6.806        3.339
        54                   7.711        3.810
        55                   3.371        1.424
        56                   3.366        1.675
        57                   3.216        1.367
        58                   3.645        1.882
        59                   3.885        2.564
        60                   4.363        3.285
        61                   3.278        1.750
        62                   3.744        2.330
        63                   4.199        3.458
        64                   4.572        4.024
        65                   4.255        2.876
        66                   4.691        3.278
        67                   4.942        3.573
        68                   5.370        4.058
        69                   5.738        4.425
        70                   6.150        4.875
        71                   6.287        4.991
        72                   4.564        4.241
        73                   5.323        5.481
