## Torsion are defined with the following atomIDs:
# dihed1: ai= 11 aj= 9 ak= 8 al= 5
# dihed2: ai= 9 aj= 8 ak= 5 al= 4
# dihed3: ai= 8 aj= 5 ak= 4 al= 2
# dihed4: ai= 8 aj= 5 ak= 6 al= 31
# dihed5: ai= 5 aj= 4 ak= 2 al= 1
# dihed6: ai= 5 aj= 6 ak= 31 al= 32
# dihed7: ai= 6 aj= 31 ak= 32 al= 35
# dihed8: ai= 35 aj= 32 ak= 33 al= 45
# dihed9: ai= 31 aj= 32 ak= 35 al= 36
# dihed10: ai= 32 aj= 35 ak= 36 al= 38
# dihed11: ai= 35 aj= 36 ak= 38 al= 43
# dihed12: ai= 32 aj= 33 ak= 45 al= 46
# dihed13: ai= 33 aj= 45 ak= 46 al= 49
# dihed14: ai= 49 aj= 46 ak= 47 al= 69
# dihed15: ai= 45 aj= 46 ak= 49 al= 50
# dihed16: ai= 46 aj= 49 ak= 50 al= 52
# dihed17: ai= 46 aj= 47 ak= 69 al= 70
# dihed18: ai= 47 aj= 69 ak= 70 al= 73
# dihed19: ai= 69 aj= 70 ak= 71 al= 80
# dihed20: ai= 69 aj= 70 ak= 73 al= 74
# dihed21: ai= 70 aj= 73 ak= 74 al= 79
# dihed22: ai= 70 aj= 71 ak= 80 al= 81
# dihed23: ai= 71 aj= 80 ak= 81 al= 84
# dihed24: ai= 84 aj= 81 ak= 82 al= 102
# dihed25: ai= 80 aj= 81 ak= 84 al= 85
# dihed26: ai= 81 aj= 84 ak= 85 al= 86
# dihed27: ai= 84 aj= 85 ak= 86 al= 87
# dihed28: ai= 85 aj= 86 ak= 87 al= 88
# dihed29: ai= 81 aj= 82 ak= 102 al= 103
# dihed30: ai= 82 aj= 102 ak= 103 al= 106
# dihed31: ai= 102 aj= 103 ak= 104 al= 113
# dihed32: ai= 102 aj= 103 ak= 106 al= 107
# dihed33: ai= 103 aj= 106 ak= 107 al= 112
# dihed34: ai= 103 aj= 104 ak= 113 al= 114
# dihed35: ai= 104 aj= 113 ak= 114 al= 117
# dihed36: ai= 117 aj= 114 ak= 115 al= 124
# dihed37: ai= 113 aj= 114 ak= 117 al= 118
# dihed38: ai= 114 aj= 115 ak= 124 al= 125
# dihed39: ai= 114 aj= 117 ak= 118 al= 120
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18  dihed19  dihed20  dihed21  dihed22  dihed23  dihed24  dihed25  dihed26  dihed27  dihed28  dihed29  dihed30  dihed31  dihed32  dihed33  dihed34  dihed35  dihed36  dihed37  dihed38  dihed39
0  -88.316 -174.496  138.901 -130.514  171.175  177.152  -58.116  -92.028  -70.336 -126.761  174.439  177.197  141.604  166.988   66.642  127.619 -150.166  165.234  115.053 -147.177   76.634 -164.241  148.585  -86.286 -151.737 -162.972 -179.682  -52.234 -162.640  -44.600   15.959 -168.762  -34.863  170.761   61.771   73.795 -174.218 -178.652  -93.563
1 -109.122 -162.947  164.146 -136.613  177.899 -178.543  -57.937 -107.400  -65.015 -103.943 -175.684 -168.820  101.839 -163.485   50.716  119.799 -173.130  168.982  126.053  -28.634  -47.717 -178.087  177.869 -108.425  -70.054 -101.654   60.267  177.457  172.322  -33.159   -1.366   96.086   87.334  164.196   82.858   79.357 -171.881  166.498 -100.328
2 -123.161 -165.605  173.344 -133.613  178.452 -173.986  -47.565 -147.296  -77.649 -108.188  161.179  172.217  166.372 -175.822   56.467  167.432 -176.175  178.655  117.760  -63.542  -36.885 -177.991  178.543 -117.586 -176.115   40.172   65.110  179.675  179.171  -45.921    8.961  101.656   67.006  170.460   82.480   81.598 -159.079 -168.162  -99.809
3  -92.357 -179.446  108.799 -114.899 -178.926 -179.603  -51.064 -135.715 -110.163  -91.275  174.464 -173.012   80.325 -107.797   33.256   82.968 -156.372  154.410  140.051  -47.456  -43.005  162.433 -172.531 -103.075  171.867   61.291   39.321 -166.633  176.876  -44.694   23.991   72.364  -41.075  172.917   79.502   62.558  174.567 -178.084 -103.612
4 -107.766 -178.925   78.671  -94.601  173.153 -172.406  -58.296 -178.912  -91.203   10.005 -164.670 -176.685  140.064 -127.195   16.076   85.550 -178.956  161.734  152.121  -55.826  -45.454 -179.067  171.511 -106.426 -164.282   59.176 -172.300  159.569  171.586  -37.853   17.929   60.862  -51.737  168.037   98.240   81.330 -159.923 -178.230   75.336
5  -98.019 -173.616   82.563  -94.183 -179.478  179.956  -24.964  170.832  -61.055  -51.146 -175.191  170.757  152.433 -126.642   12.367   93.245 -178.171  159.048  129.026  -67.165  -50.045 -177.300  166.271 -105.843 -175.980   64.046 -169.830  171.064 -166.440  -44.972  -10.281   70.116  -37.871  174.218  111.716  139.387 -158.081 -168.220   58.230
6 -115.558 -164.420   92.139  -71.115 -171.102 -172.118  -63.173 -163.773  -56.142  -54.266  171.990  176.895  135.754 -124.088   -3.323  112.459 -179.514  162.883  131.082  -61.419  -51.753 -176.889  166.552 -105.926  176.690   60.851 -166.744  176.936 -168.749  -44.441   21.108   85.461  -69.097 -178.861   59.151  137.444 -161.378 -178.851   74.263
7  -93.917 -129.638   90.329  -83.376  176.892  178.051  -58.018  164.872  -65.634  -57.415 -173.601  174.768  145.556 -121.988   27.026   99.310 -177.215  157.774  152.310  -60.585  -36.436  174.584  166.463 -109.792 -173.716   64.631 -135.118  172.855 -174.056  -47.744   11.432   81.876  -42.089  175.842   79.505   92.397 -170.949  161.181   87.026
8 -155.194  177.480   81.119 -101.187 -173.238 -179.099  -49.990  160.316  -59.455  -65.152 -179.852  172.270  168.670 -140.598   20.394   91.298 -171.064  164.471  143.998  -61.452  -59.749  179.514 -179.429 -103.859  179.999   60.617 -139.048  163.142 -177.450  -49.104    2.884   70.953  -49.589 -175.662   97.126   52.999 -175.620  164.801   71.730
9 -123.601  178.038   89.077  -87.435  176.313 -176.684  -46.227  159.029  -59.665  -39.875 -163.505  176.414  143.334 -112.807   36.393   89.102 -163.418  142.096  150.745  -56.985  -52.617  163.049 -176.263 -106.030  179.070   75.036 -135.550  155.424  175.009  -54.084    3.763   69.422  -68.464 -179.187   92.180   86.170 -171.046  176.235   53.876
10 -119.504  173.850   75.526  -74.086 -159.707  178.249  -48.608  159.601  -46.805  -77.232  172.185  170.102  157.309  -94.952   23.763   87.760  172.710  143.835  132.700  -57.551  -71.922  160.646 -169.600 -118.418  174.121   70.030 -156.168  156.682 -175.724  -46.159    3.036   67.160  -55.105  166.893   96.890   93.827 -172.266  159.461   84.130
