  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.554            0      957.090      545.197      460.785
        1        2.752        6.696            1      949.953      578.283      446.038
        2        2.305        6.646            1      934.163      540.766      421.257
        3        2.604        6.605            1      900.543      554.948      400.684
        4        2.540        6.704            1      942.610      611.478      420.699
        5        2.550        6.749            1      945.728      602.522      442.419
        6        1.324        6.686            1      947.654      596.154      459.801
        7        1.540        6.687            1      939.940      605.528      433.679
        8        1.523        6.697            1      955.894      604.528      461.426
        9        1.769        6.684            1      953.791      598.983      469.080
       10        1.409        6.775            0      965.141      653.431      464.255
       11        2.028        6.534            2      922.149      606.990      437.315
       12        1.776        6.582            1      926.689      567.274      460.174
       13        1.936        6.496            1      919.449      586.973      450.590
       14        1.903        6.506            1      915.760      582.349      430.801
       15        1.654        6.623            2      937.975      673.291      417.784
       16        1.670        6.663            2      940.226      644.796      432.058
       17        1.832        6.529            2      939.338      618.087      433.502
       18        2.010        6.571            4      937.847      642.090      400.598
       19        2.163        6.484            3      937.290      651.084      409.080
       20        1.982        6.574            2      930.899      650.838      417.568
       21        2.084        6.667            2      943.907      635.476      420.392
       22        2.287        6.521            2      931.144      645.363      426.708
       23        2.043        6.397            2      909.639      658.665      411.729
       24        2.723        6.427            2      911.483      710.261      388.069
       25        2.628        6.607            3      928.254      725.800      377.325
       26        2.099        6.431            4      896.669      683.569      384.902
       27        2.700        6.514            3      914.266      710.846      394.219
       28        2.834        6.523            1      874.209      733.143      406.986
       29        2.389        6.480            1      895.451      687.509      395.179
       30        2.381        6.380            2      874.883      718.312      382.462
       31        2.731        6.371            0      890.711      731.584      399.401
       32        2.968        6.334            1      888.496      859.268      389.421
       33        4.362        6.236            2      876.660      794.156      407.034
       34        4.659        6.228            4      890.326      797.504      396.899
       35        4.161        6.055            2      864.653      772.784      399.869
       36        3.759        5.971            3      823.451      717.983      408.642
       37        3.786        6.111            3      858.927      778.190      417.239
       38        4.111        6.114            2      851.059      756.302      412.666
       39        4.336        6.039            2      841.592      773.846      412.782
       40        4.325        6.053            3      842.385      753.556      394.818
       41        4.717        5.987            5      843.619      727.613      392.496
       42        4.001        6.121            4      845.761      759.326      397.941
       43        4.202        6.241            3      861.912      797.974      409.766
       44        4.538        6.056            4      843.902      713.893      397.566
       45        3.950        6.083            4      855.701      784.787      382.837
       46        4.291        6.243            3      893.680      800.039      387.367
       47        4.159        6.186            4      850.597      878.826      355.748
       48        4.392        6.187            3      841.109      859.064      388.192
       49        4.331        6.208            3      860.707      761.637      373.250
       50        4.219        6.031            4      830.875      765.023      340.287
       51        4.236        5.918            4      859.106      758.777      347.301
       52        4.224        6.001            5      839.467      703.191      379.813
       53        3.881        6.103            2      843.856      708.341      385.976
       54        4.439        6.134            3      856.278      795.116      407.493
       55        4.322        6.038            4      829.275      749.459      381.937
       56        3.855        6.199            2      865.604      865.641      414.908
       57        4.367        6.218            4      877.938      829.620      390.202
