  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.419            2      570.890      420.651      430.270
        1        1.718        5.905            2      567.043      326.244      408.405
        2        1.646        5.689            2      561.382      347.588      386.802
        3        1.625        6.318            1      568.094      288.660      412.860
        4        1.638        5.934            0      560.068      253.563      386.016
        5        1.847        6.232            2      562.616      291.831      403.534
        6        1.957        6.350            0      559.467      306.783      388.628
        7        1.815        6.611            1      581.842      281.605      419.791
        8        1.651        6.256            2      565.222      281.237      389.625
        9        1.838        6.343            1      565.918      291.449      401.339
       10        2.002        6.929            1      576.371      397.170      421.947
       11        2.092        7.015            1      567.507      322.644      401.071
       12        2.616        7.170            1      575.920      381.280      425.184
       13        2.413        7.052            0      573.358      345.833      412.612
       14        2.268        6.953            2      576.205      382.285      428.769
       15        2.208        6.952            1      576.002      386.112      417.347
       16        2.291        6.916            2      576.366      384.258      422.067
       17        1.882        6.885            1      576.205      384.305      425.033
       18        2.195        7.018            1      577.441      424.660      421.690
       19        2.474        7.008            2      570.894      396.901      407.493
       20        2.599        7.121            0      579.908      433.668      426.190
       21        1.901        6.904            1      577.840      451.034      427.447
       22        1.928        6.812            2      576.925      397.996      418.498
       23        2.133        7.085            1      576.679      433.207      414.044
       24        2.126        6.971            2      572.785      448.041      405.721
       25        2.039        6.799            2      572.962      402.883      404.838
       26        2.346        6.899            0      557.175      436.189      373.816
       27        1.713        6.578            1      568.181      461.139      392.854
       28        2.074        6.887            1      571.141      448.030      401.853
       29        2.388        6.900            1      572.547      448.721      422.637
       30        2.472        6.980            0      572.307      509.731      407.882
       31        2.561        7.163            1      580.542      497.337      423.944
       32        2.385        7.113            2      571.581      445.949      401.014
       33        2.431        6.954            1      579.104      444.145      427.052
       34        1.887        6.731            0      573.555      442.367      409.613
       35        2.875        7.225            2      574.605      447.764      421.700
       36        2.974        6.767            0      576.989      533.888      417.109
       37        2.758        7.286            2      573.587      512.760      409.681
       38        2.005        6.849            1      573.339      497.423      408.487
       39        2.380        7.006            1      569.854      465.236      401.377
       40        1.753        6.636            1      569.514      490.110      404.530
       41        2.294        6.925            1      576.535      500.021      422.405
       42        1.898        6.681            1      573.366      481.020      408.091
       43        1.894        6.712            1      576.613      538.067      424.215
       44        2.517        7.012            1      574.460      490.668      418.921
       45        1.896        6.449            1      576.909      472.174      416.980
       46        1.981        6.777            0      572.803      530.945      415.036
       47        2.879        6.915            1      573.007      493.767      406.336
       48        2.370        7.115            0      572.020      484.354      395.800
       49        2.074        6.897            0      579.292      468.264      419.176
       50        2.089        6.936            0      571.221      489.445      410.142
       51        2.269        6.757            1      577.161      494.505      421.575
       52        2.399        7.073            1      573.522      497.805      414.980
       53        2.736        6.929            1      572.935      527.019      417.522
       54        2.616        7.151            1      572.935      532.026      415.242
       55        3.149        7.057            0      580.848      561.163      420.789
       56        3.503        6.855            1      583.858      496.703      433.950
       57        3.434        7.181            2      567.186      497.290      397.481
       58        2.087        6.758            2      562.644      461.522      379.606
       59        2.119        6.777            1      572.076      503.795      413.866
       60        2.330        7.027            2      575.324      517.685      416.774
       61        2.563        7.131            2      575.091      508.901      432.431
       62        2.297        7.044            0      580.290      505.479      429.800
       63        2.254        6.977            1      573.339      481.644      408.890
