   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   8.793        4.538
         2                   7.665        3.630
         3                   7.170        3.330
         4                   6.083        2.539
         5                   5.429        1.862
         6                   4.415        1.249
         7                   3.685        1.183
         8                   3.189        1.313
         9                   2.668        1.963
        10                   2.413        1.630
        11                   2.090        1.458
        12                   2.020        1.274
        13                   2.037        1.160
        14                   1.929        1.033
        15                   1.885        0.844
        16                   1.842        0.955
        17                   1.919        0.854
        18                   2.041        0.619
        19                   2.189        0.687
        20                   2.375        0.755
        21                   2.615        0.957
        22                   2.864        1.336
        23                   3.160        1.876
        24                   3.042        1.790
        25                   2.744        1.138
        26                   2.707        1.267
        27                   2.597        1.689
        28                   2.679        2.202
        29                   2.705        2.764
        30                   2.837        2.320
        31                   2.836        1.385
        32                   2.228        0.946
        33                   2.081        1.175
        34                   2.166        1.561
        35                   2.093        1.925
        36                   2.235        2.286
        37                   1.990        2.033
        38                   1.931        1.172
        39                   1.963        1.049
        40                   2.064        1.248
        41                   2.778        1.897
        42                   3.859        1.956
        43                   4.559        1.932
        44                   6.111        2.619
        45                   7.210        3.444
