## Torsion are defined with the following atomIDs:
# dihed1: ai= 19068 aj= 19028 ak= 19026 al= 19025
# dihed2: ai= 19028 aj= 19026 ak= 19025 al= 19024
# dihed3: ai= 19026 aj= 19025 ak= 19024 al= 19023
# dihed4: ai= 19025 aj= 19024 ak= 19023 al= 19019
# dihed5: ai= 19024 aj= 19023 ak= 19019 al= 19018
# dihed6: ai= 19023 aj= 19019 ak= 19018 al= 19017
# dihed7: ai= 19023 aj= 19019 ak= 19020 al= 19021
# dihed8: ai= 19019 aj= 19018 ak= 19017 al= 19030
# dihed9: ai= 19036 aj= 19031 ak= 19032 al= 19033
# dihed10: ai= 19031 aj= 19032 ak= 19033 al= 19035
# dihed11: ai= 19032 aj= 19033 ak= 19035 al= 19073
# dihed12: ai= 19016 aj= 19015 ak= 19014 al= 19013
# dihed13: ai= 19015 aj= 19014 ak= 19013 al= 19037
# dihed14: ai= 19038 aj= 19010 ak= 19009 al= 19008
# dihed15: ai= 19010 aj= 19009 ak= 19008 al= 19007
# dihed16: ai= 19009 aj= 19008 ak= 19007 al= 19006
# dihed17: ai= 19008 aj= 19007 ak= 19006 al= 19005
# dihed18: ai= 19041 aj= 19004 ak= 19003 al= 19002
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18
0 -165.979  -17.884 -169.572  131.052  172.047  -75.507   86.552  -21.148    2.588  -15.686  174.620  -11.577  -66.542   88.362  178.527  146.437 -167.547  -38.026
1 -173.424    1.178 -178.418 -143.875  142.823  -75.326   67.162   -1.999   18.736   12.736  163.851    7.109  -88.075   53.184 -171.400   72.231  123.223   -3.880
2  162.336    0.298  169.860 -145.327  102.520  -73.732   76.328  -13.465    8.524  -16.661  169.847   -4.883  -56.334   58.476 -174.701   77.256  159.904  -12.241
3 -173.881    1.390  175.612  -94.533   90.464 -115.539   77.720   19.514   -3.697    5.984  167.415   -2.523  -75.799   52.002 -170.357  120.554  127.029   13.170
4 -146.836   -0.696  164.967 -119.400   85.916  -95.870   76.380   20.029   10.223    6.804  171.939    8.585  -92.724   65.770 -174.403   97.287  111.551    7.483
5 -161.797   11.922  176.411 -108.396   65.082  -95.013   78.095    8.683  -21.575   20.208  155.150  -24.012 -111.495   67.375 -167.780  121.830   90.995   27.741
6  179.216    5.792  173.745 -102.898   78.770 -100.852   89.678    5.584    1.415    1.248 -179.573  -47.082  -80.911   87.909 -175.787  117.336  107.165  179.811
7  172.734    7.057 -179.820 -112.837   85.856 -103.844   77.513   -7.606  -17.752   -0.304 -152.125  -16.280 -106.439  109.275 -165.974   92.088  103.443  -54.550
8  175.008  -15.227  168.362 -111.480   85.833 -103.808   89.750   12.657   -7.068   -1.667 -174.864   -7.567  -93.648   85.773 -177.989   83.862  133.212   -0.455
9  176.101  -10.138  177.891 -110.040   87.287  -93.668   72.419    2.698  -17.455   18.696  159.744   14.422 -117.054   60.468 -163.857  107.354  112.489  -24.795
