  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        7.293            2      919.603      526.698      451.947
        1        2.447        6.837            1      936.272      561.483      437.663
        2        3.321        7.081            0      922.018      578.673      452.075
        3        3.461        7.856            0      995.266      648.905      483.360
        4        3.421        8.022            0      985.167      589.278      475.509
        5        3.658        7.668            0      978.606      556.339      479.289
        6        3.489        7.637            0      987.105      510.390      491.950
        7        2.313        7.423            1      923.311      521.822      459.612
        8        3.066        7.010            2      899.232      479.377      437.271
        9        3.158        6.750            2      903.199      388.696      423.327
       10        3.256        6.917            3      901.531      391.005      427.613
       11        3.102        6.958            2      899.605      462.543      434.344
       12        2.964        6.760            2      887.640      401.042      434.923
       13        3.218        6.796            2      911.138      440.609      427.388
       14        2.944        6.492            1      884.550      455.056      415.855
       15        3.468        6.373            1      898.879      455.143      417.357
       16        3.283        6.418            2      897.537      473.857      394.047
       17        4.294        6.357            0      929.913      499.031      373.797
       18        4.233        6.243            0      914.140      535.142      376.965
       19        3.969        6.582            0      951.885      572.235      371.746
       20        3.705        6.308            0      903.258      526.128      351.627
       21        4.003        6.572            1      932.087      538.736      378.275
       22        4.093        6.340            0      903.495      502.702      394.228
       23        3.918        6.308            0      906.132      498.430      382.931
       24        4.014        6.499            0      929.795      485.476      379.900
       25        4.423        6.313            0      915.287      513.028      403.816
       26        4.160        6.322            0      915.803      469.718      367.489
       27        4.049        6.395            0      928.197      540.495      386.160
       28        4.166        6.343            0      904.495      517.430      377.392
       29        4.655        6.110            1      889.750      587.282      344.239
       30        4.260        6.369            1      917.229      600.665      374.373
       31        2.918        6.316            1      895.061      570.559      403.912
       32        3.473        6.469            2      934.286      642.095      400.079
       33        3.307        6.384            2      916.359      582.435      409.402
       34        4.245        6.579            1      922.198      584.367      369.717
       35        4.703        7.092            1      938.788      638.586      393.862
       36        4.836        6.736            0      914.573      650.687      401.693
       37        4.744        6.814            0      938.502      655.609      407.020
       38        4.120        6.754            1      934.150      701.947      414.874
       39        4.443        6.317            0      906.523      661.849      386.357
       40        3.870        6.291            2      935.726      735.039      372.715
       41        4.291        6.109            1      886.704      690.144      380.724
       42        4.012        5.999            1      881.063      700.551      347.021
       43        4.258        5.999            1      859.081      659.590      349.323
       44        4.044        6.217            1      916.898      805.537      384.221
       45        4.192        5.992            1      883.159      675.788      356.480
       46        4.014        5.841            3      828.033      710.382      354.530
       47        4.162        5.934            2      834.015      756.893      345.810
       48        4.336        6.164            2      841.116      662.879      371.406
       49        3.755        6.386            1      899.749      822.141      387.354
       50        3.940        6.156            4      860.835      770.557      345.574
       51        4.097        6.151            2      850.750      738.196      353.789
       52        4.186        6.488            0      864.122      751.751      398.277
       53        3.938        6.437            1      893.053      684.231      386.160
       54        4.068        6.386            1      868.313      688.788      397.257
       55        4.089        6.207            3      853.804      608.582      375.934
       56        3.896        6.112            3      861.286      651.211      350.346
       57        4.371        6.716            0      902.613      696.769      401.317
       58        4.503        6.519            1      859.479      652.459      389.348
       59        5.181        6.487            0      874.788      705.978      409.942
       60        4.676        6.167            0      844.830      649.533      351.747
       61        4.780        6.361            0      864.853      699.072      386.995
       62        4.098        6.795            0      888.392      724.785      380.481
       63        4.849        6.925            0      953.180      768.149      432.446
       64        3.333        7.032            0      927.115      740.606      453.395
       65        1.914        6.945            1      884.531      762.870      455.880
       66        4.283        7.251            0      932.581      776.430      426.094
       67        3.545        6.578            0      865.164      675.147      434.684
       68        3.436        7.011            0      891.282      734.418      429.467
       69        3.771        6.704            0      883.567      767.510      421.581
       70        3.678        6.374            0      857.905      619.777      387.558
       71        3.833        6.798            0      895.972      678.481      423.405
       72        4.370        6.969            1      874.688      678.977      436.921
       73        4.050        6.611            0      865.773      664.370      411.460
       74        5.125        6.352            2      833.939      562.332      359.649
       75        4.871        6.715            0      874.521      624.236      383.195
       76        5.179        6.364            1      883.743      595.910      382.441
       77        5.169        6.787            0      916.958      623.359      406.115
       78        5.169        6.838            0      867.438      605.381      398.019
       79        5.031        7.134            0      931.759      712.438      458.399
       80        5.432        6.850            0      907.135      657.438      407.211
       81        4.995        6.851            1      906.481      634.374      396.313
       82        4.571        6.914            2      895.311      676.631      451.510
       83        4.446        7.036            0      902.151      648.107      449.689
       84        4.501        6.750            0      882.887      628.487      445.022
       85        4.774        7.075            1      892.525      599.320      459.412
       86        4.642        6.832            1      882.486      619.549      451.441
       87        4.449        6.913            2      911.507      657.195      450.485
       88        4.106        6.914            3      909.692      650.004      449.557
       89        4.170        6.724            2      893.541      691.031      434.125
       90        4.077        6.688            4      888.425      701.149      407.953
       91        4.145        6.787            1      902.433      667.881      418.203
       92        4.132        6.873            2      896.091      638.138      426.630
       93        4.057        6.733            3      910.316      692.401      429.794
       94        4.246        7.436            2      914.065      699.174      449.583
       95        3.635        6.961            3      883.036      606.746      406.783
       96        3.980        6.826            3      886.957      722.122      423.901
       97        3.563        7.119            3      903.252      850.851      429.621
       98        4.070        6.761            3      887.104      825.027      403.319
       99        3.530        7.092            2      924.421      871.694      472.604
      100        3.557        6.763            1      899.183      789.180      408.794
      101        4.622        7.549            1      942.692      937.280      468.359
      102        4.461        7.711            1      965.673      863.263      453.598
      103        4.426        8.301            0      946.007      802.699      481.878
      104        4.110        7.363            1      901.286      773.519      429.448
      105        4.548        7.590            2      922.946      795.071      423.434
      106        4.501        7.191            1      881.296      722.202      410.937
      107        4.399        7.174            0      920.558      817.040      447.435
      108        4.601        7.590            1      925.962      757.753      458.490
      109        5.302        7.653            2      906.735      728.643      457.696
      110        5.109        7.845            1      934.688      847.428      465.392
      111        4.936        7.146            0      966.087      955.742      478.001
      112        5.125        7.222            1      913.559      788.216      448.826
      113        4.599        7.016            0      914.547      818.673      482.350
      114        5.126        7.268            0      896.794      793.699      462.408
      115        4.497        6.770            2      918.406      795.363      424.595
      116        4.573        6.874            0      912.768      714.237      435.494
      117        4.503        6.905            0      914.406      797.738      470.194
      118        4.509        6.502            0      868.524      700.429      399.157
      119        4.494        6.717            0      904.857      768.017      428.686
      120        4.100        6.934            1      885.007      783.112      442.746
      121        4.548        6.996            0      911.515      804.712      465.773
      122        5.057        6.826            0      911.089      784.244      440.862
      123        5.072        6.549            0      850.026      741.989      425.889
      124        5.012        6.724            0      901.045      763.958      445.861
      125        5.212        6.630            0      880.546      753.271      428.160
      126        5.310        6.721            0      860.824      777.130      446.726
      127        5.145        7.008            0      918.510      869.445      453.873
      128        4.804        6.564            0      889.887      753.688      419.744
      129        4.919        6.593            1      869.449      786.495      457.167
      130        5.190        6.884            0      909.859      749.390      444.274
      131        5.164        6.680            0      895.840      753.024      449.635
      132        5.019        6.817            0      876.827      794.476      444.361
      133        5.000        6.785            0      913.714      804.100      464.352
      134        5.148        6.756            0      893.422      799.947      450.102
      135        5.017        6.644            1      871.888      772.208      436.939
      136        5.037        6.551            0      897.862      765.085      413.681
      137        5.217        6.631            1      861.658      756.748      410.716
      138        5.173        6.751            0      894.152      761.310      438.733
      139        4.954        6.811            1      890.360      820.736      441.140
      140        5.180        6.452            1      864.750      738.425      411.596
      141        4.971        6.701            0      877.266      782.288      456.351
      142        5.229        7.066            0      870.776      791.383      458.907
      143        5.055        6.801            0      885.607      712.079      449.323
      144        5.025        6.637            0      876.814      778.154      428.151
      145        5.056        6.874            0      900.215      743.502      436.048
      146        4.957        6.886            0      904.154      755.839      462.578
      147        4.950        6.543            0      883.075      680.873      381.881
      148        4.774        6.607            1      919.329      748.625      450.377
      149        4.959        7.114            0      929.584      809.867      491.891
      150        5.108        7.029            0      912.706      761.311      472.555
      151        4.947        6.575            1      866.896      702.145      392.747
      152        4.803        6.517            0      880.839      730.770      403.877
      153        5.255        6.858            1      900.707      743.830      417.271
      154        5.086        7.800            0      938.805      948.723      485.095
      155        4.452        7.637            1      932.862      938.996      471.053
      156        3.124        6.657            0      901.684      825.959      461.357
      157        3.163        6.518            1      871.518      780.754      432.420
      158        2.926        6.432            1      860.622      780.454      432.057
      159        2.895        6.666            0      876.454      748.628      456.383
      160        2.152        6.583            0      886.731      778.519      450.207
      161        2.772        6.734            0      880.153      805.060      453.485
      162        2.151        6.809            0      870.259      820.502      462.960
      163        2.112        6.553            3      885.870      798.204      432.503
      164        2.047        6.389            2      851.732      744.381      431.874
      165        2.104        6.722            2      859.384      746.560      446.507
      166        2.353        6.937            2      854.107      775.366      429.872
      167        2.035        6.409            1      871.684      695.756      458.107
      168        2.026        6.676            1      889.298      745.834      441.207
      169        1.990        6.520            0      858.879      728.744      427.494
      170        2.418        6.818            2      882.669      822.233      448.750
      171        2.310        6.327            1      855.871      766.605      436.243
      172        2.051        6.418            1      857.972      740.146      434.354
      173        2.221        6.324            2      860.368      796.655      425.210
      174        2.585        6.732            2      888.843      850.943      455.077
      175        2.553        6.523            1      861.058      753.881      431.747
      176        1.915        6.565            2      845.577      730.752      432.113
      177        2.657        6.446            1      860.084      799.743      427.851
      178        2.063        6.348            1      866.088      683.599      432.370
      179        2.587        6.535            0      879.951      791.971      428.033
      180        2.866        6.376            0      869.970      776.503      427.302
      181        2.280        6.423            1      859.820      767.396      413.640
      182        2.771        6.260            1      848.972      722.074      385.745
      183        2.338        6.616            1      872.191      711.577      407.667
      184        2.711        6.378            1      841.562      705.226      401.507
      185        2.117        6.225            2      842.484      721.466      421.118
      186        2.056        6.404            0      852.589      738.578      439.963
      187        2.065        6.407            2      860.093      724.208      432.516
      188        1.988        6.377            1      862.516      723.889      433.585
      189        2.329        6.716            1      875.720      826.123      451.316
      190        2.207        6.459            1      845.105      773.672      429.295
      191        2.754        6.623            1      858.206      814.709      430.011
      192        2.126        6.399            0      856.233      782.032      439.070
      193        2.204        6.506            2      866.953      849.073      447.655
      194        2.337        6.456            1      850.947      778.232      448.520
      195        2.477        6.314            2      839.583      782.231      422.016
      196        2.146        6.446            3      868.254      751.086      418.730
      197        2.882        6.476            0      871.880      796.395      450.016
      198        2.007        6.420            2      870.703      790.880      456.923
      199        2.274        6.385            1      857.025      749.527      439.468
      200        2.355        6.662            1      866.854      746.541      438.457
      201        2.408        6.193            1      827.401      716.151      416.101
      202        2.104        6.326            2      876.373      755.523      408.879
      203        2.268        6.307            3      835.380      680.292      390.239
      204        2.167        6.396            2      844.666      751.856      437.418
      205        2.339        6.535            1      863.405      813.721      450.379
      206        2.257        6.256            1      861.472      712.040      397.344
      207        2.628        6.641            1      863.770      738.138      429.698
      208        2.434        6.819            2      871.274      717.759      422.479
      209        2.379        6.777            1      861.172      738.803      426.587
      210        2.077        6.752            1      858.444      712.443      436.960
      211        2.014        6.974            2      857.640      702.089      419.027
      212        2.189        6.815            1      878.048      761.417      448.697
      213        2.258        6.471            0      847.043      737.568      399.858
      214        2.767        6.720            2      874.541      797.556      420.000
      215        2.845        7.025            0      891.637      855.772      452.534
      216        2.405        6.401            2      861.073      804.947      430.645
      217        2.283        6.718            1      892.594      808.345      450.477
      218        2.281        6.889            1      885.821      727.256      455.722
      219        2.786        6.936            0      895.237      799.041      459.970
      220        2.142        6.766            0      897.820      820.487      464.902
      221        2.132        6.686            2      844.787      693.432      424.921
      222        2.048        6.792            2      859.519      638.539      427.112
      223        2.977        6.496            0      862.481      764.162      426.357
      224        2.240        6.712            1      863.885      714.360      429.371
      225        2.500        6.925            1      925.981      812.200      427.782
      226        2.157        6.642            0      873.416      762.817      456.909
      227        2.538        6.647            1      844.677      770.811      455.861
      228        2.376        6.917            1      845.199      748.778      457.020
      229        2.502        6.903            1      853.397      776.304      452.981
      230        2.577        6.830            0      837.665      768.230      448.689
      231        2.444        7.093            1      866.936      741.908      450.598
      232        2.668        6.887            1      823.493      695.799      427.713
      233        2.392        6.960            1      859.416      774.163      432.865
      234        2.728        6.680            0      840.008      785.678      451.630
      235        2.607        6.629            2      851.409      784.560      450.578
      236        2.936        6.658            1      847.031      771.236      434.837
      237        3.998        6.322            2      848.106      818.974      443.946
      238        3.022        6.226            2      849.809      813.271      456.986
      239        3.041        6.496            1      846.590      788.857      448.226
      240        3.125        6.526            2      861.178      812.197      428.646
      241        2.914        6.556            1      863.486      837.016      437.419
